# 728 mismatches. This search was performed against newly downloaded ortholog mapping files.
[ZFIN:ZDB-GENE-011026-1]: online = SRY, offline = None, type = ensembl query
[RGD:2325615]: online = MIR342, offline = None, type = ensembl query
[Xenbase:XB-GENE-994631]: online = GRAMD1A, offline = None, type = ensembl query
[RGD:708383]: online = ACSM2A, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-060526-180]: online = SEC14L3, offline = None, type = ensembl query
[Xenbase:XB-GENE-984826]: online = PLA2G12A, offline = None, type = ensembl query
[RGD:1303135]: online = NPC1L1, offline = None, type = ensembl query
[Xenbase:XB-GENE-487299]: online = IGFBP2, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-070410-23]: online = PLIN2, offline = None, type = ensembl query
[Xenbase:XB-GENE-5780991]: online = SELENOT, offline = None, type = ensembl query
[MGI:97347]: online = NKX2-2, offline = None, type = ensembl query
[Xenbase:XB-GENE-5793583]: online = SPNS2, offline = None, type = ensembl query
[RGD:1309109]: online = ERCC2, offline = None, type = ensembl query
[RGD:41332605]: online = SNORD33, offline = None, type = ensembl query
[Xenbase:XB-GENE-1011513]: online = OSBPL1A, offline = None, type = ensembl query
[MGI:96623]: online = ITPR1, offline = None, type = ensembl query
[Xenbase:XB-GENE-1015707]: online = LMBRD1, offline = None, type = ensembl query
[MGI:1276116]: online = EP300, offline = None, type = ensembl query
[MGI:97838]: online = EPRS1, offline = None, type = ensembl query
[Xenbase:XB-GENE-942448]: online = LIAS, offline = None, type = ensembl query
[RGD:1594092]: online = HRG, offline = None, type = ensembl query
[Xenbase:XB-GENE-5761534]: online = DGAT1, offline = None, type = ensembl query
[Xenbase:XB-GENE-6050287]: online = PLA2G4D, offline = None, type = ensembl query
[Xenbase:XB-GENE-491220]: online = SOCS1, offline = None, type = ensembl query
[Xenbase:XB-GENE-485966]: online = FGF1, offline = None, type = ensembl query
[RGD:2325598]: online = MIR21, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-120306-20]: online = CD4, offline = None, type = ensembl query
[RGD:2325609]: online = MIR101-2, offline = None, type = ensembl query
[RGD:2325539]: online = MIR320A, offline = None, type = ensembl query
[Xenbase:XB-GENE-976566]: online = OXCT1, offline = None, type = ensembl query
[MGI:99454]: online = IRS1, offline = None, type = ensembl query
[Xenbase:XB-GENE-1000156]: online = GCG, offline = None, type = ensembl query
[Xenbase:XB-GENE-960872]: online = MSMO1, offline = None, type = ensembl query
[Xenbase:XB-GENE-964783]: online = ASB1, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-020402-4]: online = DACH2, offline = None, type = ensembl query
[Xenbase:XB-GENE-960779]: online = CYP11A1, offline = None, type = ensembl query
[Xenbase:XB-GENE-952431]: online = PLCG2, offline = None, type = ensembl query
[RGD:621764]: online = FOXJ1, offline = None, type = ensembl query
[Xenbase:XB-GENE-485170]: online = CYP7A1, offline = None, type = ensembl query
[Xenbase:XB-GENE-940949]: online = SRD5A2, offline = None, type = ensembl query
[RGD:2325612]: online = MIR129-2, offline = None, type = ensembl query
[Xenbase:XB-GENE-6454651]: online = MTDH, offline = None, type = ensembl query
[MGI:88494]: online = CREB1, offline = None, type = ensembl query
[MGI:96216]: online = LIPC, offline = None, type = ensembl query
[Xenbase:XB-GENE-484032]: online = IGF1R, offline = None, type = ensembl query
[RGD:2325343]: online = MIR487B, offline = None, type = ensembl query
[RGD:2325464]: online = MIR7-1, offline = None, type = ensembl query
[RGD:6504299]: online = SDR42E2, offline = None, type = ensembl query
[RGD:1584380]: online = TSC22D4, offline = None, type = ensembl query
[Xenbase:XB-GENE-959736]: online = MOGAT3, offline = None, type = ensembl query
[RGD:1309808]: online = APOL3, offline = None, type = ensembl query
[RGD:1563293]: online = BECN2, offline = None, type = ensembl query
[MGI:97011]: online = MMP9, offline = None, type = ensembl query
[Xenbase:XB-GENE-855645]: online = OSBPL2, offline = None, type = ensembl query
[RGD:1586163]: online = DMXL2, offline = None, type = ensembl query
[RGD:1305619]: online = NDUFAB1, offline = None, type = ensembl query
[MGI:97611]: online = PLAU, offline = None, type = ensembl query
[RGD:1359580]: online = ATG5, offline = None, type = ensembl query
[Xenbase:XB-GENE-983966]: online = EGFL6, offline = None, type = ensembl query
[MGI:106217]: online = CACNA1E, offline = None, type = ensembl query
[Xenbase:XB-GENE-5794048]: online = FLI1, offline = None, type = ensembl query
[RGD:2314888]: online = MIR196A2, offline = None, type = ensembl query
[MGI:1306802]: online = ITGB1BP1, offline = None, type = ensembl query
[RGD:1306245]: online = CLIP3, offline = None, type = ensembl query
[MGI:99255]: online = FASLG, offline = None, type = ensembl query
[Xenbase:XB-GENE-485956]: online = PAFAH1B3, offline = None, type = ensembl query
[MGI:97791]: online = PTBP1, offline = None, type = ensembl query
[MGI:95924]: online = HLA-DOA, offline = None, type = ensembl query
[Xenbase:XB-GENE-5772357]: online = SETD4, offline = None, type = ensembl query
[Xenbase:XB-GENE-5753328]: online = ACSL3, offline = None, type = ensembl query
[RGD:2325591]: online = MIR29B1, offline = None, type = ensembl query
[Xenbase:XB-GENE-1014374]: online = ELOVL1, offline = None, type = ensembl query
[Xenbase:XB-GENE-481100]: online = PTGES2, offline = None, type = ensembl query
[Xenbase:XB-GENE-952977]: online = LIPA, offline = None, type = ensembl query
[RGD:628871]: online = GIMAP5, offline = None, type = ensembl query
[Xenbase:XB-GENE-494521]: online = MCAT, offline = None, type = ensembl query
[RGD:2325599]: online = MIR19B2, offline = None, type = ensembl query
[Xenbase:XB-GENE-994824]: online = GLTPD2, offline = None, type = ensembl query
[Xenbase:XB-GENE-1006041]: online = CYB5R2, offline = None, type = ensembl query
[RGD:1559698]: online = SIK2, offline = None, type = ensembl query
[RGD:1307174]: online = ABCA3, offline = None, type = ensembl query
[RGD:15009540]: online = PRKN, offline = None, type = ensembl query
[Xenbase:XB-GENE-987941]: online = PTGER3, offline = None, type = ensembl query
[RGD:69407]: online = SIK1, offline = None, type = ensembl query
[RGD:621703]: online = FOXC2, offline = None, type = ensembl query
[Xenbase:XB-GENE-974130]: online = CPTP, offline = None, type = ensembl query
[Xenbase:XB-GENE-960454]: online = PID1, offline = None, type = ensembl query
[Xenbase:XB-GENE-952941]: online = PNPLA6, offline = None, type = ensembl query
[RGD:1596197]: online = VSTM2A, offline = None, type = ensembl query
[MGI:95707]: online = GH1, offline = None, type = ensembl query
[Xenbase:XB-GENE-487159]: online = HHEX, offline = None, type = ensembl query
[RGD:1564237]: online = GPIHBP1, offline = None, type = ensembl query
[RGD:1359662]: online = CLEC4C, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-030616-323]: online = HLA-DQA1, offline = None, type = ensembl query
[Xenbase:XB-GENE-1009828]: online = WDR45B, offline = None, type = ensembl query
[Xenbase:XB-GENE-988272]: online = LIPE, offline = None, type = ensembl query
[Xenbase:XB-GENE-484137]: online = IGFBPL1, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-030325-1]: online = PRKAA1, offline = None, type = ensembl query
[Xenbase:XB-GENE-5899475]: online = HECTD4, offline = None, type = ensembl query
[Xenbase:XB-GENE-986133]: online = C2CD2L, offline = None, type = ensembl query
[MGI:87940]: online = GRK2, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-050208-155]: online = KAZALD1, offline = None, type = ensembl query
[RGD:1309798]: online = APOL3, offline = None, type = ensembl query
[Xenbase:XB-GENE-486515]: online = WIF1, offline = None, type = ensembl query
[Xenbase:XB-GENE-5832535]: online = JMY, offline = None, type = ensembl query
[Xenbase:XB-GENE-965137]: online = PLCD4, offline = None, type = ensembl query
[RGD:2325387]: online = MIR125A, offline = None, type = ensembl query
[MGI:109277]: online = PIK3R3, offline = None, type = ensembl query
[MGI:88591]: online = CYP21A2, offline = None, type = ensembl query
[Xenbase:XB-GENE-977704]: online = ELOVL3, offline = None, type = ensembl query
[MGI:95684]: online = GDF10, offline = None, type = ensembl query
[RGD:9419544]: online = HOXA5, offline = None, type = ensembl query
[MGI:99551]: online = CDH13, offline = None, type = ensembl query
[MGI:109603]: online = CMKLR1, offline = None, type = ensembl query
[Xenbase:XB-GENE-988226]: online = SCD, offline = None, type = ensembl query
[Xenbase:XB-GENE-988192]: online = ADGRB3, offline = None, type = ensembl query
[MGI:87986]: online = AKT1, offline = None, type = ensembl query
[Xenbase:XB-GENE-5817381]: online = HK3, offline = None, type = ensembl query
[Xenbase:XB-GENE-947934]: online = OSBPL11, offline = None, type = ensembl query
[Xenbase:XB-GENE-5917931]: online = CNEP1R1, offline = None, type = ensembl query
[RGD:2325523]: online = MIR494, offline = None, type = ensembl query
[Xenbase:XB-GENE-977295]: online = CAV2, offline = None, type = ensembl query
[RGD:1560525]: online = FZD8, offline = None, type = ensembl query
[MGI:88096]: online = ATF4, offline = None, type = ensembl query
[Xenbase:XB-GENE-1007523]: online = MECR, offline = None, type = ensembl query
[RGD:1307683]: online = FCHO1, offline = None, type = ensembl query
[RGD:2011]: online = ACADL, offline = None, type = ensembl query
[MGI:88574]: online = CYBB, offline = None, type = ensembl query
[RGD:1560539]: online = IFNA14, offline = None, type = ensembl query
[MGI:95290]: online = EGF, offline = None, type = ensembl query
[Xenbase:XB-GENE-966578]: online = PLCD3, offline = None, type = ensembl query
[MGI:88464]: online = COL8A2, offline = None, type = ensembl query
[RGD:1562332]: online = APOL3, offline = None, type = ensembl query
[Xenbase:XB-GENE-986196]: online = ADAMTS18, offline = None, type = ensembl query
[Xenbase:XB-GENE-6054594]: online = IQCH, offline = None, type = ensembl query
[Xenbase:XB-GENE-980009]: online = PAPPA2, offline = None, type = ensembl query
[Xenbase:XB-GENE-950490]: online = SLC2A10, offline = None, type = ensembl query
[MGI:98355]: online = SOS2, offline = None, type = ensembl query
[MGI:87930]: online = ADK, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-040718-309]: online = ELOVL3, offline = None, type = ensembl query
[MGI:96435]: online = IGF2R, offline = None, type = ensembl query
[RGD:1595921]: online = HLA-DPA1, offline = None, type = ensembl query
[MGI:95922]: online = HLA-DMB, offline = None, type = ensembl query
[Xenbase:XB-GENE-1002414]: online = CERT1, offline = None, type = ensembl query
[RGD:2325390]: online = MIR92A1, offline = None, type = ensembl query
[RGD:1306035]: online = YAP1, offline = None, type = ensembl query
[MGI:97464]: online = P4HB, offline = None, type = ensembl query
[Xenbase:XB-GENE-6042445]: online = PLCH1, offline = None, type = ensembl query
[MGI:1921393]: online = OPA1, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-061013-418]: online = KLF16, offline = None, type = ensembl query
[Xenbase:XB-GENE-941908]: online = APOA4, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-031110-3]: online = ELOVL3, offline = None, type = ensembl query
[Xenbase:XB-GENE-995970]: online = OSBPL10, offline = None, type = ensembl query
[RGD:2325378]: online = MIR199A2, offline = None, type = ensembl query
[RGD:2325503]: online = MIR301B, offline = None, type = ensembl query
[RGD:1584485]: online = SRI, offline = None, type = ensembl query
[MGI:104645]: online = HSD3B1, offline = None, type = ensembl query
[Xenbase:XB-GENE-5786075]: online = SIGMAR1, offline = None, type = ensembl query
[MGI:97373]: online = NPR3, offline = None, type = ensembl query
[Xenbase:XB-GENE-1002381]: online = CARTPT, offline = None, type = ensembl query
[Xenbase:XB-GENE-1000107]: online = GALC, offline = None, type = ensembl query
[RGD:2325349]: online = MIR24-2, offline = None, type = ensembl query
[Xenbase:XB-GENE-489753]: online = ELOVL2, offline = None, type = ensembl query
[Xenbase:XB-GENE-6070000]: online = GRB2, offline = None, type = ensembl query
[Xenbase:XB-GENE-971012]: online = ZFP36L2, offline = None, type = ensembl query
[RGD:1563422]: online = MPC2, offline = None, type = ensembl query
[RGD:2325337]: online = MIR26A1, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-120306-17]: online = CD4, offline = None, type = ensembl query
[Xenbase:XB-GENE-985885]: online = AASDHPPT, offline = None, type = ensembl query
[Xenbase:XB-GENE-490624]: online = BRCA1, offline = None, type = ensembl query
[MGI:97843]: online = RAB3A, offline = None, type = ensembl query
[MGI:96612]: online = ITGB3, offline = None, type = ensembl query
[Xenbase:XB-GENE-1014400]: online = FA2H, offline = None, type = ensembl query
[RGD:2325596]: online = MIR23B, offline = None, type = ensembl query
[Xenbase:XB-GENE-486978]: online = ACSM3, offline = None, type = ensembl query
[RGD:41172090]: online = SNORD34, offline = None, type = ensembl query
[MGI:96103]: online = HK1, offline = None, type = ensembl query
[Xenbase:XB-GENE-963757]: online = NEUROD1, offline = None, type = ensembl query
[MGI:98497]: online = TBXAS1, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-120305-3]: online = CD4, offline = None, type = ensembl query
[RGD:1308542]: online = SIRT1, offline = None, type = ensembl query
[MGI:97618]: online = PRL, offline = None, type = ensembl query
[Xenbase:XB-GENE-979300]: online = LBR, offline = None, type = ensembl query
[RGD:620215]: online = HIGD1A, offline = None, type = ensembl query
[Xenbase:XB-GENE-484795]: online = IGFBP4, offline = None, type = ensembl query
[MGI:88374]: online = CEL, offline = None, type = ensembl query
[RGD:1309255]: online = CCL7, offline = None, type = ensembl query
[RGD:1307566]: online = RASAL2, offline = None, type = ensembl query
[Xenbase:XB-GENE-5855123]: online = PNPLA3, offline = None, type = ensembl query
[Xenbase:XB-GENE-979630]: online = SC5D, offline = None, type = ensembl query
[RGD:1305408]: online = FOXK2, offline = None, type = ensembl query
[Xenbase:XB-GENE-986527]: online = HSD3B1, offline = None, type = ensembl query
[RGD:1309396]: online = TBX20, offline = None, type = ensembl query
[MGI:88039]: online = APC, offline = None, type = ensembl query
[Xenbase:XB-GENE-950902]: online = OSBPL3, offline = None, type = ensembl query
[MGI:103033]: online = SCG2, offline = None, type = ensembl query
[MGI:96969]: online = MET, offline = None, type = ensembl query
[RGD:1359360]: online = MEF2A, offline = None, type = ensembl query
[Xenbase:XB-GENE-949595]: online = PLCL2, offline = None, type = ensembl query
[Xenbase:XB-GENE-982219]: online = SLC39A14, offline = None, type = ensembl query
[Xenbase:XB-GENE-1010443]: online = PLCB4, offline = None, type = ensembl query
[Xenbase:XB-GENE-962591]: online = APOA1, offline = None, type = ensembl query
[RGD:2325550]: online = MIR206, offline = None, type = ensembl query
[Xenbase:XB-GENE-939861]: online = ACKR3, offline = None, type = ensembl query
[Xenbase:XB-GENE-990247]: online = SLC37A2, offline = None, type = ensembl query
[MGI:98724]: online = TGFA, offline = None, type = ensembl query
[MGI:87874]: online = ACE, offline = None, type = ensembl query
[RGD:2325454]: online = MIR181B2, offline = None, type = ensembl query
[MGI:96787]: online = LIF, offline = None, type = ensembl query
[Xenbase:XB-GENE-490085]: online = AACS, offline = None, type = ensembl query
[Xenbase:XB-GENE-6045753]: online = PLCB1, offline = None, type = ensembl query
[Xenbase:XB-GENE-922952]: online = SEMA3E, offline = None, type = ensembl query
[RGD:2325592]: online = MIR27A, offline = None, type = ensembl query
[RGD:2325433]: online = MIR19B1, offline = None, type = ensembl query
[Xenbase:XB-GENE-6043823]: online = VPS13C, offline = None, type = ensembl query
[Xenbase:XB-GENE-989613]: online = VPS13A, offline = None, type = ensembl query
[MGI:1919022]: online = PLBD2, offline = None, type = ensembl query
[Xenbase:XB-GENE-952336]: online = HMGCLL1, offline = None, type = ensembl query
[MGI:99532]: online = MEF2A, offline = None, type = ensembl query
[RGD:628889]: online = GJC1, offline = None, type = ensembl query
[Xenbase:XB-GENE-1008841]: online = HSD3B7, offline = None, type = ensembl query
[MGI:98159]: online = RPS6, offline = None, type = ensembl query
[RGD:1306029]: online = KLF7, offline = None, type = ensembl query
[Xenbase:XB-GENE-998892]: online = MVK, offline = None, type = ensembl query
[Xenbase:XB-GENE-995100]: online = HSD3B1, offline = None, type = ensembl query
[Xenbase:XB-GENE-950501]: online = ADA, offline = None, type = ensembl query
[Xenbase:XB-GENE-962580]: online = PAFAH1B2, offline = None, type = ensembl query
[RGD:2325380]: online = MIR185, offline = None, type = ensembl query
[Xenbase:XB-GENE-985071]: online = RELCH, offline = None, type = ensembl query
[RGD:1310495]: online = MFSD4B, offline = None, type = ensembl query
[Xenbase:XB-GENE-942876]: online = ELOVL6, offline = None, type = ensembl query
[Xenbase:XB-GENE-6461030]: online = OC90, offline = None, type = ensembl query
[MGI:99887]: online = PITPNA, offline = None, type = ensembl query
[Xenbase:XB-GENE-957000]: online = HACD1, offline = None, type = ensembl query
[Xenbase:XB-GENE-6049995]: online = SOGA1, offline = None, type = ensembl query
[MGI:96160]: online = HMGA1, offline = None, type = ensembl query
[RGD:1565355]: online = CD36, offline = None, type = ensembl query
[MGI:1927144]: online = SAV1, offline = None, type = ensembl query
[RGD:621307]: online = PRL, offline = None, type = ensembl query
[MGI:95392]: online = ENG, offline = None, type = ensembl query
[Xenbase:XB-GENE-1010361]: online = PDCD10, offline = None, type = ensembl query
[Xenbase:XB-GENE-951402]: online = MFSD2A, offline = None, type = ensembl query
[RGD:1594034]: online = DCAF12, offline = None, type = ensembl query
[MGI:97809]: online = PTPRB, offline = None, type = ensembl query
[MGI:895149]: online = ACADVL, offline = None, type = ensembl query
[Xenbase:XB-GENE-985157]: online = ADGRB1, offline = None, type = ensembl query
[MGI:96609]: online = ITGAX, offline = None, type = ensembl query
[RGD:2325388]: online = MIR106B, offline = None, type = ensembl query
[RGD:1304770]: online = MFSD4B, offline = None, type = ensembl query
[MGI:96392]: online = ICAM1, offline = None, type = ensembl query
[Xenbase:XB-GENE-955909]: online = GIP, offline = None, type = ensembl query
[Xenbase:XB-GENE-1008413]: online = PLCB3, offline = None, type = ensembl query
[RGD:2325597]: online = MIR22, offline = None, type = ensembl query
[RGD:2325587]: online = MIR30C2, offline = None, type = ensembl query
[MGI:97512]: online = PCSK2, offline = None, type = ensembl query
[RGD:2325377]: online = MIR205, offline = None, type = ensembl query
[RGD:2321536]: online = SIRPB1, offline = None, type = ensembl query
[MGI:87920]: online = PLIN2, offline = None, type = ensembl query
[MGI:99685]: online = RYR2, offline = None, type = ensembl query
[RGD:2325547]: online = MIR217, offline = None, type = ensembl query
[MGI:106582]: online = RFX3, offline = None, type = ensembl query
[RGD:6496055]: online = APOL3, offline = None, type = ensembl query
[MGI:103060]: online = ECM1, offline = None, type = ensembl query
[RGD:1359373]: online = ANG, offline = None, type = ensembl query
[RGD:2325552]: online = MIR200B, offline = None, type = ensembl query
[Xenbase:XB-GENE-941923]: online = APOA5, offline = None, type = ensembl query
[RGD:708507]: online = EGFL7, offline = None, type = ensembl query
[RGD:1563536]: online = SPCS3, offline = None, type = ensembl query
[MGI:95556]: online = FLNA, offline = None, type = ensembl query
[Xenbase:XB-GENE-1010117]: online = LMLN, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-050306-28]: online = FITM1, offline = None, type = ensembl query
[RGD:1307547]: online = PAXIP1, offline = None, type = ensembl query
[RGD:2325605]: online = MIRLET7F2, offline = None, type = ensembl query
[RGD:2325588]: online = MIR30A, offline = None, type = ensembl query
[MGI:88394]: online = CHGA, offline = None, type = ensembl query
[RGD:1560876]: online = C1QTNF9, offline = None, type = ensembl query
[RGD:1309044]: online = PNPLA2, offline = None, type = ensembl query
[Xenbase:XB-GENE-495321]: online = PNPLA8, offline = None, type = ensembl query
[Xenbase:XB-GENE-6087368]: online = TMEM120B, offline = None, type = ensembl query
[Xenbase:XB-GENE-485652]: online = HNF1B, offline = None, type = ensembl query
[MGI:95900]: online = HLA-DRA, offline = None, type = ensembl query
[RGD:1588212]: online = OBP2B, offline = None, type = ensembl query
[Xenbase:XB-GENE-6257562]: online = ATG9B, offline = None, type = ensembl query
[MGI:88454]: online = COL4A1, offline = None, type = ensembl query
[RGD:2325392]: online = MIR30B, offline = None, type = ensembl query
[RGD:2325581]: online = MIR98, offline = None, type = ensembl query
[Xenbase:XB-GENE-1010775]: online = LOXL2, offline = None, type = ensembl query
[MGI:88421]: online = CLPS, offline = None, type = ensembl query
[RGD:2325401]: online = MIR20A, offline = None, type = ensembl query
[Xenbase:XB-GENE-5939296]: online = CTDNEP1, offline = None, type = ensembl query
[Xenbase:XB-GENE-953769]: online = ELOVL4, offline = None, type = ensembl query
[Xenbase:XB-GENE-5998532]: online = HACD2, offline = None, type = ensembl query
[Xenbase:XB-GENE-6042177]: online = PLA2G4F, offline = None, type = ensembl query
[MGI:96789]: online = LIPA, offline = None, type = ensembl query
[Xenbase:XB-GENE-1004226]: online = MOGAT1, offline = None, type = ensembl query
[Xenbase:XB-GENE-1012136]: online = SLC2A12, offline = None, type = ensembl query
[RGD:1310209]: online = ELAPOR1, offline = None, type = ensembl query
[Xenbase:XB-GENE-950532]: online = FITM2, offline = None, type = ensembl query
[Xenbase:XB-GENE-484295]: online = SOX17, offline = None, type = ensembl query
[Xenbase:XB-GENE-955547]: online = LIPC, offline = None, type = ensembl query
[RGD:1306681]: online = SMOC2, offline = None, type = ensembl query
[MGI:95805]: online = GRB2, offline = None, type = ensembl query
[Xenbase:XB-GENE-487334]: online = TBX20, offline = None, type = ensembl query
[MGI:96556]: online = IL4, offline = None, type = ensembl query
[RGD:2325358]: online = MIR532, offline = None, type = ensembl query
[Xenbase:XB-GENE-5847665]: online = LIPH, offline = None, type = ensembl query
[RGD:2325583]: online = MIR92A2, offline = None, type = ensembl query
[RGD:2325569]: online = MIR138-2, offline = None, type = ensembl query
[MGI:97895]: online = REG1A, offline = None, type = ensembl query
[MGI:98294]: online = SHB, offline = None, type = ensembl query
[RGD:1304662]: online = PLA2G12A, offline = None, type = ensembl query
[Xenbase:XB-GENE-5915013]: online = C2CD5, offline = None, type = ensembl query
[RGD:1563648]: online = SCD, offline = None, type = ensembl query
[Xenbase:XB-GENE-5777114]: online = INSIG2, offline = None, type = ensembl query
[Xenbase:XB-GENE-486704]: online = KAZALD1, offline = None, type = ensembl query
[Xenbase:XB-GENE-958127]: online = SLC30A8, offline = None, type = ensembl query
[RGD:1594804]: online = ECSCR, offline = None, type = ensembl query
[MGI:109334]: online = IRS2, offline = None, type = ensembl query
[Xenbase:XB-GENE-485073]: online = IGFBP5, offline = None, type = ensembl query
[Xenbase:XB-GENE-1018467]: online = PMF1, offline = None, type = ensembl query
[MGI:98254]: online = SCP2, offline = None, type = ensembl query
[Xenbase:XB-GENE-940117]: online = CREBL2, offline = None, type = ensembl query
[ZFIN:ZDB-GENE-040426-1026]: online = PAFAH1B3, offline = None, type = ensembl query
[Xenbase:XB-GENE-5838849]: online = PLA2G4A, offline = None, type = ensembl query
